employee_id,gender,state,city,education_level,birthdate,hiredate,termdate,department,job_title,salary,performance_rating,full_name,status,age
00-10403216,Female,New York,Rochester,High School,1994-09-17,2017-12-29,,Customer Service,Support Specialist,60852.0,Satisfactory,Aaron Horton,Active,32
00-10404729,Female,Virginia,Virginia Beach,Bachelor,1981-07-14,2022-03-04,2022-08-31,Customer Service,Help Desk Technician,58407.0,Good,John Grimes,Terminated,45
00-10409797,Male,Michigan,Grand Rapids,High School,1997-05-15,2018-12-21,,Customer Service,Help Desk Technician,57046.0,Needs Improvement,Gloria Hale,Active,29
00-10412827,Male,North Carolina,Raleigh,High School,1984-10-22,2019-09-22,,Operations,Inventory Specialist,63356.0,Satisfactory,Savannah Howard,Active,42
00-10432769,Female,New York,Buffalo,Bachelor,1992-09-20,2018-11-15,,Customer Service,Customer Service Representative,60621.0,Satisfactory,Robin Gutierrez,Active,34
00-10446705,Female,New York,Buffalo,Bachelor,2002-04-26,2024-06-03,,Customer Service,Support Specialist,54933.0,Good,Michelle Johnson,Active,24
00-10457051,Female,New York,Buffalo,Bachelor,1964-03-17,2016-01-11,,Sales,Sales Representative,61979.0,Good,Christopher Pitts,Active,62
00-10460418,Female,Michigan,Grand Rapids,Bachelor,1987-11-23,2024-10-05,,Marketing,Marketing Coordinator,64471.0,Needs Improvement,Barbara Stevens,Active,39
00-10464811,Male,New York,Buffalo,Bachelor,1985-05-05,2019-06-18,,Sales,Sales Representative,63604.0,Good,Martha Williams,Active,41
00-10466177,Female,Michigan,Warren,Bachelor,1991-05-11,2022-06-06,2022-12-03,Finance,Accountant,53179.0,Satisfactory,Joseph Diaz,Terminated,35
00-10470877,Male,New York,Rochester,Master,1961-12-09,2018-03-19,,HR,HR Coordinator,54969.0,Good,Paul Day,Active,65
00-10475894,Male,New York,New York City,Bachelor,1982-12-23,2018-09-08,2019-07-16,IT,Software Developer,89897.0,Good,Joseph Anderson,Terminated,44
00-10476674,Female,New York,Rochester,Bachelor,1998-07-02,2023-05-16,,Marketing,Marketing Coordinator,70313.0,Good,Jeffrey Roach,Active,28
00-10486734,Female,Virginia,Virginia Beach,PhD,1995-07-11,2016-04-15,,Finance,Financial Analyst,104437.0,Satisfactory,Scott Riddle,Active,31
00-10503430,Male,New York,New York City,High School,1983-01-16,2023-11-13,,Customer Service,Customer Service Representative,66995.0,Good,Joshua Austin,Active,43
00-10515548,Male,New York,New York City,Bachelor,1990-12-08,2019-10-11,,Operations,Logistics Coordinator,69085.0,Good,Mandy Mason,Active,36
00-10538139,Female,New York,Rochester,Bachelor,1972-02-16,2016-04-01,,Sales,Sales Representative,73674.0,Satisfactory,Michael Schaefer,Active,54
00-10551617,Male,New York,New York City,Master,1981-11-26,2018-10-21,,Sales,Sales Consultant,68761.0,Good,Alan Weeks,Active,45
00-10573904,Male,New York,New York City,Bachelor,1989-01-31,2022-10-16,,Operations,Logistics Coordinator,69563.0,Excellent,Christopher Martin,Active,37
00-10578224,Male,New York,Rochester,Bachelor,1999-10-16,2017-04-21,,Operations,Inventory Specialist,66275.0,Satisfactory,Richard Todd,Active,27
00-10605250,Female,Pennsylvania,Allentown,Master,1992-05-26,2020-01-21,,Operations,Operations Analyst,60271.0,Good,Karen Martin,Active,34
00-10614102,Female,New York,Rochester,PhD,1993-05-23,2024-08-13,,Sales,Sales Specialist,66553.0,Needs Improvement,Matthew Combs,Active,33
00-10617870,Female,New York,Buffalo,Bachelor,1986-01-01,2024-03-19,,Operations,Operations Manager,95684.0,Good,Erin Ramos,Active,40
00-10625592,Female,Virginia,Norfolk,Bachelor,1979-12-11,2018-05-04,,Sales,Sales Specialist,69113.0,Satisfactory,Sarah Bauer,Active,47
00-10665587,Male,New York,Rochester,High School,1979-04-02,2023-02-23,,Customer Service,Customer Service Representative,60160.0,Satisfactory,Cheyenne Brown,Active,47
00-10667294,Male,New York,New York City,Bachelor,1972-07-18,2017-03-22,,Operations,Logistics Coordinator,66996.0,Satisfactory,David Sims,Active,54
00-10667938,Male,Michigan,Warren,Bachelor,1973-05-06,2017-10-25,,Operations,Operations Analyst,87753.0,Good,Sheena Hicks,Active,53
00-10673042,Male,North Carolina,Raleigh,Bachelor,1993-01-15,2017-09-28,,Operations,Logistics Coordinator,68396.0,Good,Crystal Rhodes,Active,33
00-10691813,Female,New York,Buffalo,High School,1964-05-09,2018-10-01,,Customer Service,Support Specialist,61344.0,Satisfactory,Robert Woodard,Active,62
00-10697290,Female,Pennsylvania,Pittsburgh,Bachelor,1979-12-10,2024-02-21,2024-08-19,Customer Service,Customer Service Representative,55001.0,Good,Christina Robinson,Terminated,47
00-10753570,Female,New York,New York City,Bachelor,1980-06-14,2020-03-22,,Customer Service,Support Specialist,63693.0,Satisfactory,Carolyn Robinson,Active,46
00-10764034,Male,New York,Rochester,Bachelor,1994-03-07,2018-11-02,,Marketing,Marketing Coordinator,76788.0,Needs Improvement,Kenneth Wallace,Active,32
00-10776989,Male,New York,Rochester,High School,1990-05-28,2022-12-24,,Operations,Inventory Specialist,59332.0,Satisfactory,Kristi Wade,Active,36
00-10784416,Male,Ohio,Columbus,High School,1988-11-18,2022-09-13,,Customer Service,Customer Service Representative,64929.0,Good,Amy Escobar,Active,38
00-10791740,Female,North Carolina,Raleigh,Bachelor,1998-10-15,2021-10-26,,Operations,Inventory Specialist,57924.0,Good,Andrew Deleon,Active,28
00-10808854,Male,Illinois,Aurora,Bachelor,1985-06-07,2018-12-16,,IT,Software Developer,86885.0,Good,Rachel Glover,Active,41
00-10842074,Male,New York,New York City,High School,1984-07-16,2021-07-10,,IT,IT Support Specialist,63937.0,Good,Tyler Rodriguez,Active,42
00-10856024,Male,Virginia,Richmond,Bachelor,2002-04-29,2018-12-23,2019-06-21,Operations,Inventory Specialist,61322.0,Excellent,Timothy Phillips,Terminated,24
00-10865811,Female,New York,Rochester,Bachelor,1970-02-17,2023-08-07,,Marketing,Content Creator,57329.0,Satisfactory,Debbie Klein,Active,56
00-10874735,Female,Michigan,Warren,Bachelor,1986-01-01,2018-06-29,,IT,Software Developer,82070.0,Satisfactory,David Santiago,Active,40
00-10881653,Male,Illinois,Aurora,Bachelor,1963-04-02,2018-04-08,,Customer Service,Help Desk Technician,64295.0,Good,Rachel Miller,Active,63
00-10884169,Female,New York,New York City,Bachelor,1967-12-03,2017-02-27,,Sales,Sales Representative,69161.0,Good,Elizabeth Spence,Active,59
00-10902666,Male,New York,Rochester,Bachelor,1964-05-26,2018-09-24,,Operations,Logistics Coordinator,71715.0,Good,Justin Martin,Active,62
00-10909370,Male,New York,New York City,Bachelor,1974-09-15,2024-07-16,,Operations,Inventory Specialist,63956.0,Good,Cody Arnold,Active,52
00-10923862,Female,New York,Rochester,Bachelor,1980-12-20,2022-01-30,,Operations,Logistics Coordinator,55222.0,Good,Gregory Baker,Active,46
00-10933716,Male,New York,Buffalo,Master,1982-04-16,2018-11-10,,Operations,Operations Analyst,73378.0,Satisfactory,Jennifer Shah,Active,44
00-10954835,Male,New York,New York City,High School,1988-08-17,2020-09-14,,Customer Service,Help Desk Technician,59535.0,Needs Improvement,Brandon Christian,Active,38
00-10954878,Male,New York,Rochester,Master,2003-03-24,2021-06-29,,IT,IT Manager,121086.0,Excellent,Anita Wagner,Active,23
00-10959975,Female,Pennsylvania,Philadelphia,Bachelor,2002-03-13,2018-03-11,,Sales,Sales Representative,58267.0,Excellent,Lori Daniels,Active,24
00-10965569,Male,North Carolina,Greensboro,Bachelor,1990-11-26,2018-12-14,,Operations,Inventory Specialist,67221.0,Good,Deborah Murphy,Active,36
00-10969945,Male,New York,New York City,Bachelor,1993-01-01,2022-05-20,,Operations,Inventory Specialist,67855.0,Good,Shelly Delgado,Active,33
00-10978481,Female,New York,Rochester,Master,1995-01-29,2022-08-21,,IT,Software Developer,104317.0,Good,Sarah Olson,Active,31
00-10982850,Male,New York,Rochester,Bachelor,1994-04-02,2017-08-03,,Customer Service,Customer Service Representative,62858.0,Good,Michelle Murray,Active,32
00-10983894,Male,North Carolina,Charlotte,High School,1992-05-15,2021-09-04,,Marketing,Content Creator,64010.0,Needs Improvement,Madison Wagner,Active,34
00-10997236,Male,New York,Rochester,Bachelor,1991-07-05,2020-01-13,,Operations,Logistics Coordinator,64668.0,Good,Sharon White,Active,35
00-11020743,Female,Michigan,Warren,Bachelor,1999-10-13,2024-09-23,,Finance,Accounts Payable Specialist,59278.0,Needs Improvement,Elizabeth Wright,Active,27
00-11031743,Male,New York,New York City,Bachelor,1989-12-26,2017-03-02,,Operations,Logistics Coordinator,64797.0,Needs Improvement,Robert Newton,Active,37
00-11034506,Female,New York,Buffalo,Bachelor,1974-02-17,2019-11-28,,Sales,Sales Consultant,87976.0,Satisfactory,Vanessa Tapia,Active,52
00-11055438,Male,New York,New York City,Bachelor,1981-07-20,2017-09-01,,Marketing,Marketing Coordinator,79062.0,Good,Caleb Daniels,Active,45
00-11069794,Male,New York,Rochester,Bachelor,1983-09-05,2017-02-21,,Operations,Operations Manager,101106.0,Good,Andre Grant,Active,43
00-11070085,Male,New York,New York City,Bachelor,1981-10-16,2021-10-01,,IT,IT Support Specialist,64508.0,Satisfactory,Samuel Jones,Active,45
00-11070533,Male,North Carolina,Raleigh,Bachelor,1968-03-02,2024-07-30,,Marketing,Marketing Coordinator,71669.0,Satisfactory,Trevor Warner,Active,58
00-11073065,Male,Michigan,Warren,High School,2000-05-20,2019-08-14,,Customer Service,Customer Service Representative,53270.0,Good,Richard Smith,Active,26
00-11075659,Female,New York,Rochester,Bachelor,2001-11-26,2021-05-25,,Operations,Logistics Coordinator,60701.0,Good,David Williams,Active,25
00-11077619,Female,New York,New York City,Bachelor,1980-03-03,2019-02-19,,Finance,Accountant,64284.0,Satisfactory,Brianna Reese,Active,46
00-11084726,Female,Pennsylvania,Philadelphia,High School,1980-05-11,2020-07-19,,Operations,Inventory Specialist,61961.0,Satisfactory,Robert King,Active,46
00-11099317,Female,New York,New York City,Bachelor,1988-12-31,2016-01-09,,Operations,Logistics Coordinator,58847.0,Satisfactory,Adam Williams,Active,38
00-11110324,Female,New York,Buffalo,High School,1961-10-14,2017-12-29,,Customer Service,Support Specialist,66178.0,Excellent,Paul Moore,Active,65
00-11116303,Female,New York,New York City,PhD,1980-08-25,2022-04-04,,IT,IT Manager,113352.0,Excellent,Danny Reed,Active,46
00-11119640,Male,New York,Rochester,PhD,1995-06-25,2017-11-02,,Sales,Sales Specialist,76812.0,Good,Peter Moore,Active,31
00-11132274,Male,Michigan,Detroit,Bachelor,1996-07-01,2016-09-04,,Operations,Inventory Specialist,58106.0,Good,Jeffrey Cole,Active,30
00-11137651,Female,New York,New York City,Bachelor,1979-12-20,2023-10-11,,Sales,Sales Representative,76719.0,Good,Caitlin Evans,Active,47
00-11139490,Male,Pennsylvania,Philadelphia,PhD,1976-04-25,2017-07-19,,Sales,Sales Consultant,70394.0,Good,Julie Rios,Active,50
00-11145938,Female,New York,New York City,Master,1998-10-16,2017-09-05,,IT,IT Manager,133425.0,Excellent,Holly Gray,Active,28
00-11162685,Female,Ohio,Columbus,Bachelor,1987-04-30,2017-09-18,,Marketing,Marketing Coordinator,67298.0,Satisfactory,Catherine Baker,Active,39
00-11164601,Male,New York,Rochester,Bachelor,1994-11-29,2023-02-07,,Sales,Sales Representative,71023.0,Good,Paula Li,Active,32
00-11171326,Female,New York,New York City,Bachelor,1978-01-25,2023-10-26,,IT,System Administrator,96126.0,Good,Rhonda Fisher,Active,48
00-11173352,Female,New York,Buffalo,High School,1997-01-03,2020-08-07,,Operations,Inventory Specialist,57627.0,Satisfactory,Rebecca Solomon,Active,29
00-11185755,Female,New York,Rochester,Bachelor,1980-05-01,2018-12-08,,Customer Service,Customer Service Representative,57919.0,Satisfactory,Jennifer White,Active,46
00-11190605,Female,New York,Rochester,Bachelor,2002-09-23,2019-03-06,,HR,Recruiter,69690.0,Good,Stephanie Gibbs,Active,24
00-11194267,Male,New York,New York City,Bachelor,1985-09-26,2019-01-21,,Customer Service,Customer Service Representative,68239.0,Satisfactory,David Nunez,Active,41
00-11196331,Female,New York,New York City,Bachelor,1983-01-23,2015-08-07,,Sales,Sales Specialist,68299.0,Good,Michelle Alexander,Active,43
00-11224073,Male,New York,Buffalo,High School,1987-09-30,2024-03-01,,HR,Recruiter,62801.0,Excellent,Albert Palmer,Active,39
00-11244728,Male,New York,Buffalo,Bachelor,1984-09-30,2016-09-14,,Sales,Sales Representative,62402.0,Good,Jessica Glass,Active,42
00-11256721,Male,New York,New York City,Bachelor,1969-09-18,2017-07-08,,Sales,Sales Representative,71098.0,Needs Improvement,Elizabeth Clements,Active,57
00-11292919,Male,Ohio,Cincinnati,Bachelor,1988-02-16,2018-03-16,,Customer Service,Support Specialist,70150.0,Good,Karen Lamb,Active,38
00-11294689,Male,New York,Rochester,High School,1964-07-22,2017-03-30,,IT,IT Support Specialist,57322.0,Good,Nicole Manning,Active,62
00-11299382,Male,New York,Rochester,Bachelor,1982-06-24,2020-08-18,,Sales,Sales Representative,73900.0,Good,Debra Anderson,Active,44
00-11304964,Male,Pennsylvania,Allentown,High School,1984-10-29,2024-06-08,,Operations,Inventory Specialist,61707.0,Satisfactory,Lisa Robinson,Active,42
00-11306363,Female,New York,New York City,Master,1982-03-18,2020-03-13,,IT,Software Developer,107398.0,Good,Matthew Castillo,Active,44
00-11323834,Female,Pennsylvania,Allentown,Bachelor,1960-02-23,2016-11-29,,Finance,Accountant,63180.0,Good,Samuel Perry,Active,66
00-11336919,Male,New York,New York City,High School,2002-02-08,2017-01-01,,IT,IT Support Specialist,58651.0,Needs Improvement,Amanda Maldonado,Active,24
00-11370078,Female,New York,Buffalo,Bachelor,1982-10-14,2022-05-01,,Operations,Inventory Specialist,57349.0,Good,Mike Williams,Active,44
00-11380509,Male,New York,Rochester,PhD,1965-04-25,2019-02-02,,Sales,Sales Specialist,83454.0,Good,Cristian Hall,Active,61
00-11381630,Male,North Carolina,Greensboro,Bachelor,1991-03-17,2022-06-20,,HR,Recruiter,79069.0,Good,Sara Soto,Active,35
00-11385159,Female,New York,Buffalo,Bachelor,1989-07-08,2019-08-26,,Customer Service,Help Desk Technician,69757.0,Good,Lori Davis,Active,37
00-11396963,Male,New York,Buffalo,Bachelor,1975-05-29,2023-04-27,,Operations,Logistics Coordinator,68351.0,Good,Ashlee Rogers,Active,51
00-11400593,Male,New York,Buffalo,Bachelor,1979-09-09,2017-02-23,,Sales,Sales Representative,87616.0,Satisfactory,Patricia Torres,Active,47
00-11428262,Female,New York,New York City,Bachelor,1984-02-16,2017-07-07,,IT,System Administrator,79308.0,Satisfactory,Mark Summers,Active,42
00-11446903,Male,New York,Rochester,Bachelor,1964-10-26,2017-02-19,,Marketing,Content Creator,70497.0,Satisfactory,Ryan Bullock,Active,62
00-11458621,Male,Michigan,Detroit,Bachelor,1972-02-07,2019-03-29,,Operations,Operations Manager,105680.0,Satisfactory,Donna Gomez,Active,54
00-11464854,Male,New York,New York City,Bachelor,1963-03-25,2017-08-16,,Finance,Accounts Payable Specialist,67179.0,Satisfactory,Michael Santiago,Active,63
00-11469548,Male,Pennsylvania,Allentown,Bachelor,1981-01-07,2023-10-08,,Operations,Logistics Coordinator,66848.0,Good,Brian Olsen,Active,45
00-11469955,Female,New York,Rochester,High School,1972-02-29,2022-01-25,,Operations,Inventory Specialist,60629.0,Satisfactory,Thomas Diaz,Active,54
00-11482715,Male,New York,Buffalo,Bachelor,1999-07-28,2017-02-16,,Sales,Sales Representative,65388.0,Needs Improvement,Shawn Nunez,Active,27
00-11502307,Female,New York,Buffalo,Bachelor,1967-02-04,2020-11-27,,Operations,Logistics Coordinator,68500.0,Excellent,Thomas Hernandez,Active,59
00-11502382,Male,New York,Rochester,Bachelor,1963-01-12,2018-05-01,,Operations,Logistics Coordinator,65915.0,Satisfactory,Stacey Peterson,Active,63
00-11504663,Female,New York,Buffalo,Master,1987-10-07,2022-02-27,,IT,System Administrator,100438.0,Excellent,Lauren Brown,Active,39
00-11516293,Female,New York,New York City,Bachelor,1992-10-19,2021-10-03,,Operations,Logistics Coordinator,58636.0,Excellent,Lawrence Delgado,Active,34
00-11523452,Female,New York,New York City,Master,1984-04-17,2017-12-28,2021-06-26,IT,Software Developer,94351.0,Good,Kristi Diaz,Terminated,42
00-11524245,Female,New York,Rochester,PhD,1988-12-27,2023-09-14,,Sales,Sales Specialist,82055.0,Satisfactory,Donna Mccoy,Active,38
00-11524247,Male,New York,New York City,Bachelor,1959-10-04,2018-05-28,,Customer Service,Help Desk Technician,89858.0,Excellent,Michael Hudson,Active,67
00-11529494,Male,New York,New York City,Bachelor,1970-11-30,2017-11-28,2023-01-15,Operations,Inventory Specialist,66416.0,Good,Amy Anderson,Terminated,56
00-11536077,Male,New York,Rochester,Bachelor,1972-03-22,2023-08-10,,Operations,Inventory Specialist,62376.0,Good,Phillip Hernandez,Active,54
00-11558972,Female,Ohio,Cleveland,PhD,1974-03-28,2017-07-17,,Sales,Sales Specialist,95430.0,Satisfactory,Anna Brown,Active,52
00-11577154,Male,Michigan,Detroit,Bachelor,1979-05-26,2019-08-22,,Operations,Inventory Specialist,70889.0,Good,Roberta Rodgers,Active,47
00-11582229,Female,New York,New York City,High School,2000-06-07,2021-05-28,,Operations,Inventory Specialist,54981.0,Needs Improvement,Andrew Byrd,Active,26
00-11586450,Male,New York,New York City,Bachelor,1980-11-05,2022-05-30,,Operations,Logistics Coordinator,70196.0,Needs Improvement,Nicole Gordon,Active,46
00-11590610,Female,New York,New York City,Bachelor,1986-08-20,2015-12-09,2019-08-28,Sales,Sales Representative,61011.0,Satisfactory,Eric Delgado,Terminated,40
00-11604831,Male,New York,New York City,Bachelor,1996-09-02,2016-05-01,2021-12-30,Customer Service,Help Desk Technician,92489.0,Good,Brittany Powers,Terminated,30
00-11619567,Male,New York,Buffalo,Master,1973-10-21,2017-05-01,,Operations,Operations Analyst,57267.0,Excellent,Robert Mcknight,Active,53
00-11620224,Female,New York,New York City,Bachelor,1975-01-30,2017-12-12,,Sales,Sales Representative,73580.0,Excellent,Christina Caldwell,Active,51
00-11626011,Male,New York,New York City,Bachelor,1985-07-04,2024-06-07,,Sales,Sales Representative,84223.0,Satisfactory,Jessica Thomas,Active,41
00-11632815,Female,Michigan,Detroit,Master,1983-12-05,2016-08-24,,Operations,Operations Analyst,70204.0,Satisfactory,Jamie Hernandez,Active,43
00-11638103,Male,New York,New York City,Master,1964-08-26,2017-04-18,,Operations,Operations Analyst,69918.0,Good,Brandi Buckley,Active,62
00-11640743,Female,New York,Rochester,Bachelor,2004-03-05,2017-03-11,,Sales,Sales Representative,59874.0,Excellent,Michael Johnson,Active,22
00-11658976,Male,Michigan,Detroit,Bachelor,1990-04-26,2017-10-18,,IT,Software Developer,110431.0,Excellent,Richard White,Active,36
00-11674728,Female,New York,New York City,Bachelor,1961-07-01,2020-10-07,,Marketing,Marketing Coordinator,71957.0,Good,Kristi Todd,Active,65
00-11686744,Female,New York,Buffalo,Bachelor,1980-06-05,2018-08-05,,Finance,Financial Analyst,94878.0,Needs Improvement,Kenneth Miller,Active,46
00-11691339,Female,New York,Buffalo,PhD,1960-07-02,2022-04-12,,Sales,Sales Specialist,70416.0,Good,Chelsea Blackburn,Active,66
00-11698142,Male,New York,New York City,Bachelor,1993-10-20,2023-06-11,2023-12-08,Customer Service,Help Desk Technician,78079.0,Satisfactory,Rick Daniels,Terminated,33
00-11709239,Female,Michigan,Grand Rapids,Bachelor,1973-07-06,2022-10-13,,Sales,Sales Representative,61459.0,Satisfactory,Sarah Walker,Active,53
00-11722586,Female,New York,Rochester,Bachelor,1961-04-12,2023-01-06,,Finance,Accountant,88111.0,Satisfactory,Andrew Foster,Active,65
00-11724501,Female,Michigan,Grand Rapids,High School,1976-06-13,2023-01-17,,Customer Service,Customer Service Representative,60658.0,Needs Improvement,Melanie Velasquez,Active,50
00-11734913,Male,New York,Rochester,PhD,1976-11-09,2016-06-21,,Finance,Financial Analyst,72526.0,Excellent,Michael Jones,Active,50
00-11740542,Female,New York,Buffalo,Master,1984-06-29,2020-05-23,,Sales,Sales Consultant,98221.0,Good,Whitney Wright,Active,42
00-11750973,Male,New York,New York City,Master,1998-10-16,2016-05-25,,Sales,Sales Consultant,88200.0,Good,Lorraine Glover,Active,28
00-11760963,Female,New York,New York City,Bachelor,1981-01-26,2017-02-13,,Finance,Financial Analyst,85672.0,Good,Erica Rangel,Active,45
00-11762146,Male,New York,Buffalo,Bachelor,1979-09-15,2020-04-14,,IT,Software Developer,91434.0,Good,Christopher Yang,Active,47
00-11783108,Female,New York,Rochester,Bachelor,1966-05-19,2019-12-11,,Operations,Logistics Coordinator,61636.0,Good,Ricardo Lee,Active,60
00-11798091,Male,New York,New York City,Bachelor,2000-08-06,2020-03-28,,Marketing,Marketing Coordinator,81028.0,Good,Julie Payne,Active,26
00-11809088,Female,Virginia,Norfolk,High School,1986-12-27,2023-04-11,,Operations,Inventory Specialist,58626.0,Satisfactory,Sarah Stanley,Active,40
00-11811523,Male,Michigan,Grand Rapids,High School,1996-05-24,2023-08-31,,Customer Service,Support Specialist,55635.0,Satisfactory,Shelley Rowland,Active,30
00-11820133,Male,New York,New York City,Bachelor,1986-02-09,2023-09-12,,Marketing,Marketing Coordinator,77602.0,Good,Sarah Torres,Active,40
00-11830740,Female,Pennsylvania,Philadelphia,Bachelor,1991-05-30,2023-03-08,,IT,System Administrator,86152.0,Satisfactory,James Rodgers,Active,35
